quantity;priceMin;priceMax;priceMod;state
225133;741;870;793;KNT
279047;433;543;485;KNT
317020;223;432;405;KNT
240681;759;1370;1122;KNT
268281;161;534;461;KNT
296311;727;1390;1250;KNT
316685;495;1429;1011;KNT
367503;1082;1300;1186;KNT
363037;185;696;524;KNT
351372;966;1873;1537;KNT
522132;296;1017;797;KNT
405716;609;2018;1662;KNT
400359;200;1505;1101;KNT
221952;527;586;556;KNT
269609;362;441;398;KNT
337968;224;371;353;KNT
220832;525;923;828;KNT
271493;221;555;454;KNT
329870;543;930;801;KNT
368644;386;895;661;KNT
398464;611;748;683;KNT
386843;220;704;559;KNT
378399;615;1360;1123;KNT
683236;294;1078;748;KNT
443687;638;1660;1450;KNT
185150;419;518;465;KNT
300428;375;450;417;KNT
329630;203;372;348;KNT
221698;502;683;626;KNT
323078;193;467;386;KNT
314900;350;691;536;KNT
404805;287;730;545;KNT
372716;505;701;645;KNT
376769;305;726;596;KNT
377960;579;1213;1026;KNT
697423;307;1166;712;KNT
468522;552;1564;1385;KNT
137390;400;516;455;KNT
313052;397;453;419;KNT
383165;196;338;320;KNT
311532;504;700;644;KNT
358169;188;519;456;KNT
306002;394;682;551;KNT
395519;306;827;564;KNT
372034;557;743;661;KNT
407188;260;707;599;KNT
384205;566;1330;1149;KNT
591250;250;1495;941;KNT
420072;413;1904;1567;KNT
311445;486;621;551;KNT
298906;413;520;439;KNT
323823;298;455;433;KNT
264983;845;1004;935;KNT
340708;240;590;483;KNT
301310;436;902;742;KNT
362618;324;958;630;KNT
368576;622;1000;847;KNT
402256;334;832;688;KNT
337186;843;1840;1517;KNT
496447;621;2296;1791;KNT
485652;940;2356;2068;KNT
157022;439;606;525;KNT
63824;422;598;455;KNT
301129;309;498;472;KNT
212955;925;1173;1043;KNT
302969;536;884;766;KNT
335728;512;886;721;KNT
376400;366;995;689;KNT
349686;844;1136;979;KNT
389497;387;901;784;KNT
349474;1404;2547;2241;KNT
399867;1294;2740;2426;KNT
505717;1192;2800;2432;KNT
251984;476;621;549;KNT
166881;760;929;844;KNT
294549;313;505;479;KNT
319176;974;1355;1179;KNT
